event_id,timestamp,property_code,person_id,direction,access_point
E0002185,2025-06-18 19:35:00,NRW-QP,P100161,OUT,Turnstile 1
E0010035,2025-08-14 07:31:00,LDN-HQ,P100371,IN,Gate B
E0002838,2025-06-22 17:52:00,BHM-PR,P100186,OUT,Reception
E0006067,2025-07-15 21:03:00,NRW-QP,P100290,OUT,Gate B
E0007454,2025-07-26 20:31:00,MCH-CC,P100074,OUT,Reception
E0001040,2025-06-09 20:04:00,GLW-CL,P100223,OUT,Gate A
E0007929,2025-07-30 07:44:00,LDS-AR,P100021,IN,Turnstile 1
E0010587,2025-08-18 09:35:00,,P100249,IN,Reception
E0000519,2025-06-04 11:38:00,MCH-CC,P100464,IN,Reception
E0010072,2025-08-14 20:27:00,LDN-HQ,P100354,OUT,Gate B
E0005938,2025-07-14 18:51:00,BHM-PR,P100623,OUT,Gate A
E0008961,2025-08-07 20:10:00,CDF-BY,P100032,OUT,Turnstile 1
E0006780,2025-07-21 17:19:00,,P100644,OUT,Turnstile 1
E0003942,29/06/2025 08:04,LDN-HQ,P100551,IN,Turnstile 1
E0007457,2025-07-26 08:10:00,LDS-AR,P100120,IN,Reception
E0003529,2025-06-27 08:58:00,LDS-AR,P100023,IN,Reception
E0003412,2025-06-26 13:15:00,BEL-LG,P100097,OUT,Turnstile 1
E0009488,2025-08-10 07:43:00,BRI-01,P100522,OUT,Gate B
E0000721,2025-06-06 18:13:00,BRI-01,P100129,OUT,Gate A
E0007064,2025-07-23 14:47:00,MCH-CC,P100400,OUT,Gate A
E0009510,2025-08-10 11:09:00,EDI-EX,P100474,OUT,Reception
E0000595,2025-06-05 09:29:00,CDF-BY,P100331,IN,Reception
E0006519,2025-07-19 21:25:00,BHM-PR,P100623,OUT,Gate A
E0007038,2025-07-23 19:02:00,BHM-PR,P100468,OUT,Reception
E0009560,2025-08-10 13:28:00,BRI-01,P100163,OUT,Gate A
E0008772,2025-08-06 17:46:00,LDN-HQ,P100297,OUT,Gate A
E0004314,2025-07-02 11:14:00,CDF-BY,P100213,IN,Reception
E0010634,18/08/2025 10:06,MCH-CC,P100464,IN,Reception
E0007621,2025-07-28 10:40:00,BHM-PR,P100218,IN,Gate A
E0010241,2025-08-15 12:36:00,GLW-CL,P100037,OUT,Gate B
E0009962,2025-08-13 18:28:00+01:00,NRW-QP,P100080,OUT,Gate A
E0002168,2025-06-18 10:19:00,LDS-AR,P100194,IN,Gate A
E0012367,2025-08-31 15:19:00,MCH-CC,P100287,OUT,Reception
E0007637,2025-07-28 09:46:00,CDF-BY,P100398,IN,Gate A
E0009903,2025-08-13 11:45:00,LDN-HQ,P100244,IN,Gate A
E0008626,2025-08-05 07:53:00,MCH-CC,P100083,IN,Gate A
E0007043,2025-07-23 19:23:00,MCH-CC,P100312,OUT,Turnstile 1
E0011321,2025-08-23 07:30:00,EDI-EX,P100577,OUT,Gate B
E0009289,2025-08-08 10:46:00,NRW-QP,P100288,IN,Gate A
E0006249,2025-07-17 18:59:00,EDI-EX,P100409,OUT,Gate B
E0008824,2025-08-06 10:23:00,CDF-BY,P100331,IN,Turnstile 1
E0009941,2025-08-13 08:05:00,BEL-LG,P100302,IN,Gate B
E0009751,12/08/2025 08:03,BHM-PR,P100390,IN,Gate A
E0004694,2025-07-05 20:30:00,edi-ex,P100146,OUT,Turnstile 1
E0002268,2025-06-18 13:16:00,CDF-BY,P100206,OUT,Reception
E0002702,2025-06-21 09:42:00,NRW-QP,P100479,IN,Gate A
E0010281,2025-08-15 19:37:00,NRW-QP,P100439,OUT,Reception
E0000488,2025-06-04 19:35:00,,P100366,OUT,Gate B
E0011514,2025-08-24 08:55:00,BHM-PR,P100623,IN,Gate B
E0002253,2025-06-18 07:50:00,BEL-LG,P100036,IN,Reception
E0003659,2025-06-28 11:38:00,GLW-CL,P100341,IN,Reception
E0000064,2025-06-01 16:26:00,BEL-LG,P100480,OUT,Turnstile 1
E0005026,2025-07-07 16:32:00,BHM-PR,P100544,OUT,Reception
